"","REESSB","Year","Scenario"
"321",NA,2024,16
"322",11.5500737849841,2025,16
"323",NA,2026,16
"324",17.3936282455512,2027,16
"325",NA,2028,16
"326",24.7890294339978,2029,16
"327",NA,2030,16
"328",28.0515767880829,2031,16
"329",NA,2032,16
"330",23.0739511919736,2033,16
"331",NA,2034,16
"332",7.78060406905066,2035,16
"333",NA,2036,16
"334",-9.92767825602935,2037,16
"335",NA,2038,16
"336",-22.8416928218693,2039,16
"337",5.11120141189194,2019,17
"338",NA,2020,17
"339",-7.39759053545793,2021,17
"340",NA,2022,17
"341",6.79114280038773,2023,17
"342",NA,2024,17
"343",21.1867180202582,2025,17
"344",NA,2026,17
"345",22.9676626272817,2027,17
"346",NA,2028,17
"347",19.487431049172,2029,17
"348",NA,2030,17
"349",7.08607755752098,2031,17
"350",NA,2032,17
"351",5.63109331521501,2033,17
"352",NA,2034,17
"353",1.08434267927647,2035,17
"354",NA,2036,17
"355",-1.19895564069626,2037,17
"356",NA,2038,17
"357",-6.03866607967679,2039,17
"358",2.24510722614485,2019,18
"359",NA,2020,18
"360",-11.0504144452555,2021,18
"361",NA,2022,18
"362",2.90043688023971,2023,18
"363",NA,2024,18
"364",15.3985486039543,2025,18
"365",NA,2026,18
"366",18.6269696167242,2027,18
"367",NA,2028,18
"368",17.2532840837103,2029,18
"369",NA,2030,18
"370",6.67241384431898,2031,18
"371",NA,2032,18
"372",3.05255453704808,2033,18
"373",NA,2034,18
"374",0.861678876855925,2035,18
"375",NA,2036,18
"376",-3.35496652607745,2037,18
"377",NA,2038,18
"378",-10.9973485568534,2039,18
"379",4.50606151531306,2019,19
"380",NA,2020,19
"381",-3.14915878543214,2021,19
"382",NA,2022,19
"383",0.704518047779883,2023,19
"384",NA,2024,19
"385",-3.4318858052217,2025,19
"386",NA,2026,19
"387",-7.10058148082819,2027,19
"388",NA,2028,19
"389",-3.4776043073506,2029,19
"390",NA,2030,19
"391",0.11586151521563,2031,19
"392",NA,2032,19
"393",7.39096986261969,2033,19
"394",NA,2034,19
"395",7.0223623419119,2035,19
"396",NA,2036,19
"397",-2.31589924312036,2037,19
"398",NA,2038,19
"399",-10.8739753894438,2039,19
"400",5.17788085438148,2019,20
"401",NA,2020,20
"402",-5.38578655090252,2021,20
"403",NA,2022,20
"404",2.96398934363671,2023,20
"405",NA,2024,20
"406",11.8373157970503,2025,20
"407",NA,2026,20
"408",18.3310775807903,2027,20
