"","Catchsim","Year","Catchest","Scenario"
"272",4106.21397187454,1997,4100.045,6
"273",3210.60339387242,1998,3213.567,6
"274",2332.84652628663,1999,2330.78,6
"275",3369.3793132898,2000,3368.914,6
"276",4168.64199995592,2001,4166.492,6
"277",4002.82825492352,2002,4003.737,6
"278",4424.91508432937,2003,4426.53,6
"279",4443.68621352975,2004,4443.342,6
"280",5062.12804685497,2005,5042.297,6
"281",3067.88701708169,2006,3064.518,6
"282",3798.59500137237,2007,3796.705,6
"283",5151.75446846298,2008,5148.055,6
"284",5565.33333291916,2009,5554.322,6
"285",5339.02029219753,2010,5343.594,6
"286",5109.97072073817,2011,5089.281,6
"287",3032.4077880054,2012,3014.348,6
"288",1952.69883512817,2013,1933.962,6
"289",1242.3906597693,2014,1226.95,6
"290",260.327717992316,2015,259.6982,6
"291",578.949825917598,2016,581.0302,6
"292",857.488542766297,2017,867.5378,6
"293",515.712106409548,2018,518.2983,6
"294",266.240165962762,2019,266.5063,6
"295",335.406312279668,2020,337.3067,6
"296",421.356700944832,2021,422.9224,6
"297",728.964947927575,2022,728.2773,6
"298",794.459134930963,2023,802.2578,6
"299",1393.63279910172,2024,1398.011,6
"300",1496.22858062721,2025,1498.605,6
"301",2359.45762600032,2026,2361.195,6
"302",2290.25265392344,2027,2287.441,6
"303",2532.67908797081,2028,2509.691,6
"304",2446.5953643636,2029,2450.084,6
"305",2092.06806122925,2030,2074.787,6
"306",2130.39578969997,2031,2138.607,6
"307",1791.02803421774,2032,1783.581,6
"308",1857.32916400809,2033,1859.728,6
"309",1737.74018373436,2034,1746.532,6
"310",1789.94200252407,2035,1804.076,6
"311",1901.34153115807,2036,1891.198,6
"312",1938.79155274229,2037,1932.82,6
"313",9654.017959343,1986,9622.5255,7
"314",10733.4078125094,1987,10714.855,7
"315",8879.59776810552,1988,8863.713,7
"316",14814.7301254725,1989,14726.61,7
"317",18424.2659042407,1990,18285.8,7
"318",17265.7928972569,1991,17136.535,7
"319",11566.7795020534,1992,11484.66,7
"320",7613.62086999814,1993,7562.509,7
"321",5755.09240510454,1994,5714.544,7
"322",4938.11623337229,1995,4937.6815,7
"323",5362.5966487336,1996,5343.6055,7
"324",4106.21396332843,1997,4104.8565,7
"325",3210.60339111119,1998,3201.903,7
"326",2332.8465254709,1999,2326.662,7
"327",3369.37931283848,2000,3366.418,7
"328",4168.64199974855,2001,4166.2385,7
"329",4002.82825484969,2002,4000.1245,7
"330",4424.91508429236,2003,4426.7115,7
"331",4443.68621351035,2004,4439.8855,7
"332",5062.12804684462,2005,5056.453,7
"333",3067.887017079,2006,3068.0295,7
"334",3798.5950013711,2007,3810.8935,7
"335",5151.75446846231,2008,5155.277,7
"336",5565.33333291891,2009,5574.163,7
"337",5339.02029219744,2010,5334.443,7
"338",5109.97072073814,2011,5091.4965,7
"339",3032.40778800539,2012,3010.609,7
"340",1952.69883512817,2013,1937.572,7
"341",1242.3906597693,2014,1231.4765,7
"342",260.327717992316,2015,260.30575,7
"343",578.949825917598,2016,580.42465,7
"344",857.488542766297,2017,863.61695,7
"345",515.712106409548,2018,518.10835,7
"346",527.86103014661,2019,530.0202,7
"347",682.306838158895,2020,687.55685,7
"348",818.553796320755,2021,818.9475,7
"349",1076.36670918031,2022,1083.884,7
"350",1138.60123904736,2023,1144.309,7
"351",1254.50930166942,2024,1242.265,7
"352",1385.50194915394,2025,1370.693,7
"353",1451.40063916633,2026,1460.018,7
"354",1599.09692813851,2027,1616.979,7
"355",1636.26360874515,2028,1673.212,7
"356",1753.28418846776,2029,1772.402,7
"357",1816.70693351297,2030,1825.569,7
"358",1899.99081531059,2031,1896.416,7
"359",1903.8099953776,2032,1920.956,7
"360",1961.383299905,2033,1964.303,7
"361",1916.45781560227,2034,1916.975,7
"362",1976.42366880836,2035,1977.603,7
"363",1942.17538887727,2036,1951.968,7
"364",1921.24033182735,2037,1925.382,7
"365",9594.70843888422,1986,9598.018,8
"366",10709.422972066,1987,10694.615,8
"367",8867.64277976265,1988,8877.1345,8
"368",14805.2399018518,1989,14717.55,8
"369",18421.0234940119,1990,18173.555,8
"370",17265.0238308903,1991,17007.23,8
"371",11566.5871974153,1992,11433.88,8
"372",7613.57561514347,1993,7561.477,8
"373",5755.08554985193,1994,5728.6165,8
"374",4938.11513387538,1995,4919.3795,8
"375",5362.59634622635,1996,5319.554,8
"376",4106.21387804322,1997,4092.303,8
"377",3210.60336355573,1998,3201.2395,8
"378",2332.8465173304,1999,2323.738,8
"379",3369.3793083346,2000,3371.424,8
"380",4168.64199767908,2001,4162.8025,8
"381",4002.82825411296,2002,4013.403,8
"382",4424.91508392301,2003,4437.619,8
"383",4443.68621331674,2004,4446.282,8
"384",5062.12804674126,2005,5058.636,8
"385",3067.88701705219,2006,3074.405,8
"386",3798.59500135849,2007,3795.2485,8
"387",5151.75446845563,2008,5155.0985,8
"388",5565.33333291636,2009,5575.516,8
"389",5339.02029219657,2010,5330.717,8
"390",5109.97072073784,2011,5064.822,8
"391",3032.40778800533,2012,3008.287,8
"392",1952.69883512816,2013,1926.1425,8
"393",1242.3906597693,2014,1225.97,8
"394",260.327717992316,2015,260.0932,8
"395",578.949825917598,2016,579.01545,8
"396",857.488542766297,2017,862.29635,8
"397",515.712106409548,2018,519.5209,8
