"","rhoSSB","Year","Scenario"
"479",NA,2014,9
"480",NA,2015,9
"481",NA,2016,9
"482",NA,2017,9
"483",NA,2018,9
"484",NA,2019,9
"485",0.0106141828963327,2020,9
"486",0.00559241767080214,2021,9
"487",0.0100406140173727,2022,9
"488",0.00597468893612807,2023,9
"489",0.00625543797721281,2024,9
"490",0.00393449652784074,2025,9
"491",0.00670937587867696,2026,9
"492",0.00681211795878869,2027,9
"493",0.00570913400602406,2028,9
"494",0.0152748415476781,2029,9
"495",0.0117090922864197,2030,9
"496",0.0188820325198977,2031,9
"497",0.0150471703255982,2032,9
"498",0.0188572529929791,2033,9
"499",0.0207881542052601,2034,9
"500",0.0292182321046071,2035,9
"501",0.0281611859327061,2036,9
"502",0.040371085245839,2037,9
"503",0.0465074986241836,2038,9
"504",0.0452479778965565,2039,9
"505",NA,1984,10
"506",NA,1985,10
"507",NA,1986,10
"508",NA,1987,10
"509",NA,1988,10
"510",NA,1989,10
"511",NA,1990,10
"512",NA,1991,10
"513",NA,1992,10
"514",NA,1993,10
"515",NA,1994,10
"516",NA,1995,10
"517",NA,1996,10
"518",NA,1997,10
"519",NA,1998,10
"520",NA,1999,10
"521",NA,2000,10
"522",NA,2001,10
"523",NA,2002,10
"524",NA,2003,10
"525",NA,2004,10
"526",NA,2005,10
"527",NA,2006,10
"528",NA,2007,10
"529",NA,2008,10
"530",NA,2009,10
"531",NA,2010,10
"532",NA,2011,10
"533",NA,2012,10
"534",NA,2013,10
"535",NA,2014,10
"536",NA,2015,10
"537",NA,2016,10
"538",NA,2017,10
"539",NA,2018,10
"540",NA,2019,10
"541",0.00156536020456202,2020,10
"542",-0.00063563072413779,2021,10
"543",-0.00286262900368356,2022,10
"544",-0.00122161540947443,2023,10
"545",0.00280793611356367,2024,10
"546",-0.000671275735745985,2025,10
"547",0.00456935659846018,2026,10
"548",0.00552550322071476,2027,10
"549",0.0102855177740182,2028,10
"550",0.00850951396493783,2029,10
"551",0.0174175551508603,2030,10
"552",0.0199267157193655,2031,10
"553",0.0219704057371716,2032,10
"554",0.019427402740208,2033,10
"555",0.0205406759954002,2034,10
"556",0.0249244376215468,2035,10
"557",0.025979252430543,2036,10
"558",0.039209774493374,2037,10
"559",0.047668808470394,2038,10
"560",0.0457225323209889,2039,10
"561",NA,1984,11
"562",NA,1985,11
"563",NA,1986,11
"564",NA,1987,11
"565",NA,1988,11
"566",NA,1989,11
"567",NA,1990,11
"568",NA,1991,11
"569",NA,1992,11
"570",NA,1993,11
"571",NA,1994,11
"572",NA,1995,11
"573",NA,1996,11
"574",NA,1997,11
"575",NA,1998,11
"576",NA,1999,11
"577",NA,2000,11
"578",NA,2001,11
"579",NA,2002,11
"580",NA,2003,11
"581",NA,2004,11
"582",NA,2005,11
"583",NA,2006,11
"584",NA,2007,11
"585",NA,2008,11
"586",NA,2009,11
"587",NA,2010,11
"588",NA,2011,11
"589",NA,2012,11
"590",NA,2013,11
"591",NA,2014,11
"592",NA,2015,11
"593",NA,2016,11
"594",NA,2017,11
"595",NA,2018,11
"596",NA,2019,11
"597",-0.00662997106181525,2020,11
"598",-0.00508335408926922,2021,11
"599",0.00171710070390861,2022,11
"600",0.00599611105521744,2023,11
"601",0.014099931694059,2024,11
"602",0.0206164147098528,2025,11
"603",0.0208382685875369,2026,11
"604",0.025989942295964,2027,11
"605",0.0315773451478895,2028,11
"606",0.0344277569039912,2029,11
"607",0.0263253902885863,2030,11
