"","SSBratiot","Time","Scenario"
"81",1.06781864297885,"Short-term",1
"82",1.1588508159757,"Short-term",1
"83",1.00533588202091,"Short-term",1
"84",0.986031892579732,"Short-term",1
"85",1.06390406676364,"Short-term",1
"86",1.0308362402532,"Short-term",1
"87",1.01298116115165,"Short-term",1
"88",1.04505612367972,"Short-term",1
"89",1.05237114258088,"Short-term",1
"90",1.04426025485921,"Short-term",1
"91",1.01833564122463,"Short-term",1
"92",1.06136879998228,"Short-term",1
"93",1.06278407743404,"Short-term",1
"94",1.13937738020198,"Short-term",1
"95",1.04007455213963,"Short-term",1
"96",1.09346986941926,"Short-term",1
"97",1.02244359185206,"Short-term",1
"98",1.06269658848135,"Short-term",1
"99",0.99248840132541,"Short-term",1
"100",1.01499786322863,"Short-term",1
"101",1.03211383648595,"Short-term",1
"102",1.00150801317581,"Short-term",1
"103",1.05150426677398,"Short-term",1
"104",1.03789130372021,"Short-term",1
"105",1.06845969040041,"Short-term",1
"106",1.03401558729914,"Short-term",1
"107",1.08172928789083,"Short-term",1
"108",1.07714365925798,"Short-term",1
"109",1.07823117886035,"Short-term",1
"110",1.02388025222226,"Short-term",1
"111",1.06528722578601,"Short-term",1
"112",1.03189234666632,"Short-term",1
"113",1.04870994513298,"Short-term",1
"114",1.07345709521648,"Short-term",1
"115",1.06429839123502,"Short-term",1
"116",1.04661642329057,"Short-term",1
"117",1.08158337827244,"Short-term",1
"118",1.0445196277996,"Short-term",1
"119",1.04478331341217,"Short-term",1
"120",1.01792087566705,"Short-term",1
"121",1.03154076342786,"Short-term",1
"122",1.05061623766836,"Short-term",1
"123",1.09534209574421,"Short-term",1
"124",1.1257986528448,"Short-term",1
"125",1.06981299649968,"Short-term",1
"126",1.07105622753395,"Short-term",1
"127",0.998723298281178,"Short-term",1
"128",1.06876627242666,"Short-term",1
"129",1.14028668726829,"Short-term",1
"130",1.08383363325284,"Short-term",1
"131",1.06826398544672,"Short-term",1
"132",1.1163332326944,"Short-term",1
"133",1.01556832624532,"Short-term",1
"134",1.03461122885524,"Short-term",1
"135",1.06255079884736,"Short-term",1
"136",1.01649081289422,"Short-term",1
"137",1.07619131077131,"Short-term",1
"138",1.0504279949668,"Short-term",1
"139",1.01249125612646,"Short-term",1
"140",1.04195731969537,"Short-term",1
"141",0.978919925728455,"Short-term",1
"142",1.07950377761566,"Short-term",1
