"","REEF","Year","Scenario"
"99",-11.1740056386498,2039,9
"100",-8.48864059266094,2019,10
"101",-10.0551639581552,2021,10
"102",-10.6820266441119,2023,10
"103",-11.2475276837197,2025,10
"104",-12.4194997610046,2027,10
"105",-12.4533367453753,2029,10
"106",-13.6499833991079,2031,10
"107",-14.2426105091814,2033,10
"108",-13.5064535002238,2035,10
"109",-13.1201002194508,2037,10
"110",-10.3192805118679,2039,10
"111",-9.34927429938169,2019,11
"112",-11.6497392795058,2021,11
"113",-12.5591150158798,2023,11
"114",-11.9090274414746,2025,11
"115",-11.2170399409813,2027,11
"116",-10.8352489747906,2029,11
"117",-10.7059662409855,2031,11
"118",-11.447230950282,2033,11
"119",-12.5808940135942,2035,11
"120",-12.3127231832627,2037,11
"121",-12.0995876163298,2039,11
"122",-9.02176775403874,2019,12
"123",-10.1481193870114,2021,12
"124",-10.0372195119155,2023,12
"125",-10.2534675260687,2025,12
"126",-10.323166939915,2027,12
"127",-10.0650630128841,2029,12
"128",-11.4003372884806,2031,12
"129",-12.3675930139405,2033,12
"130",-13.8980389389472,2035,12
"131",-14.6118182704579,2037,12
"132",-15.1206266480211,2039,12
"133",-15.2468654364635,2019,13
"134",-23.746476943261,2021,13
"135",-29.7287827085637,2023,13
"136",-35.3485664763286,2025,13
"137",-32.2996197708709,2027,13
"138",-16.2081527485898,2029,13
"139",1.72082452468001,2031,13
"140",5.00301902886285,2033,13
"141",4.15728083446284,2035,13
"142",-1.50599796284763,2037,13
"143",-1.84141061324923,2039,13
"144",-16.943231441048,2019,14
"145",-24.1317458090171,2021,14
"146",-28.7967398386062,2023,14
"147",-33.5118814578945,2025,14
"148",-29.1003289791186,2027,14
"149",-14.6647775102823,2029,14
"150",1.52257706390461,2031,14
"151",5.69138991220188,2033,14
"152",3.04554669471813,2035,14
"153",1.54258330638364,2037,14
"154",-0.728901621005338,2039,14
"155",-15.1296253040207,2019,15
"156",-23.1425509954181,2021,15
"157",-21.2824532324421,2023,15
"158",-16.4566837011915,2025,15
"159",-8.96420667484344,2027,15
"160",-5.29346860587461,2029,15
"161",-4.46507057623187,2031,15
"162",-5.55214209220475,2033,15
"163",-2.47966699553963,2035,15
"164",2.69150922387907,2037,15
"165",5.76119592594085,2039,15
"166",-16.4119821421266,2019,16
"167",-23.674078472651,2021,16
"168",-26.8684593133587,2023,16
"169",-32.549503986168,2025,16
"170",-34.8675266875406,2027,16
"171",-34.2855724884461,2029,16
"172",-32.6386223450423,2031,16
"173",-24.0941751088547,2033,16
"174",-6.75374574998893,2035,16
"175",8.80121131408339,2037,16
"176",15.1322296350755,2039,16
"177",-16.6576796641685,2019,17
"178",-23.855811761589,2021,17
"179",-30.4077113321768,2023,17
"180",-35.8515734571395,2025,17
"181",-37.398843063962,2027,17
"182",-28.7750609749258,2029,17
"183",-17.7606007782219,2031,17
"184",-11.5993082223878,2033,17
"185",-8.51158565326226,2035,17
"186",-9.93554383528608,2037,17
"187",-10.8933263566259,2039,17
"188",-13.0309424739463,2019,18
"189",-20.6564133594544,2021,18
