"","rhoF","Year","Scenario"
"563",NA,1986,11
"564",NA,1987,11
"565",NA,1988,11
"566",NA,1989,11
"567",NA,1990,11
"568",NA,1991,11
"569",NA,1992,11
"570",NA,1993,11
"571",NA,1994,11
"572",NA,1995,11
"573",NA,1996,11
"574",NA,1997,11
"575",NA,1998,11
"576",NA,1999,11
"577",NA,2000,11
"578",NA,2001,11
"579",NA,2002,11
"580",NA,2003,11
"581",NA,2004,11
"582",NA,2005,11
"583",NA,2006,11
"584",NA,2007,11
"585",NA,2008,11
"586",NA,2009,11
"587",NA,2010,11
"588",NA,2011,11
"589",NA,2012,11
"590",NA,2013,11
"591",NA,2014,11
"592",NA,2015,11
"593",NA,2016,11
"594",NA,2017,11
"595",NA,2018,11
"596",NA,2019,11
"597",0.00397920628292663,2020,11
"598",0.00896998083041845,2021,11
"599",0.00309702314826474,2022,11
"600",-0.0010403387928671,2023,11
"601",-0.00821681688329804,2024,11
"602",-0.0166319943045156,2025,11
"603",-0.0161859208808226,2026,11
"604",-0.0191522894924382,2027,11
"605",-0.0258712080299494,2028,11
"606",-0.0275481716246374,2029,11
"607",-0.0192166323877114,2030,11
"608",-0.0167966769090109,2031,11
"609",-0.0152520531079477,2032,11
"610",-0.0167809224378633,2033,11
"611",-0.0141849513391015,2034,11
"612",-0.017615577507961,2035,11
"613",-0.021216871496149,2036,11
"614",-0.0217499945301873,2037,11
"615",-0.0247749724970165,2038,11
"616",-0.0263118361001132,2039,11
"617",NA,1984,12
"618",NA,1985,12
"619",NA,1986,12
"620",NA,1987,12
"621",NA,1988,12
"622",NA,1989,12
"623",NA,1990,12
"624",NA,1991,12
"625",NA,1992,12
"626",NA,1993,12
"627",NA,1994,12
"628",NA,1995,12
"629",NA,1996,12
"630",NA,1997,12
"631",NA,1998,12
"632",NA,1999,12
"633",NA,2000,12
"634",NA,2001,12
"635",NA,2002,12
"636",NA,2003,12
"637",NA,2004,12
"638",NA,2005,12
"639",NA,2006,12
"640",NA,2007,12
"641",NA,2008,12
"642",NA,2009,12
"643",NA,2010,12
"644",NA,2011,12
"645",NA,2012,12
"646",NA,2013,12
"647",NA,2014,12
"648",NA,2015,12
"649",NA,2016,12
"650",NA,2017,12
"651",NA,2018,12
"652",NA,2019,12
"653",-0.00869627507133787,2020,12
"654",0.00340617745493461,2021,12
"655",-0.000675175461443987,2022,12
"656",-0.0125081939885388,2023,12
"657",-0.00742431883007853,2024,12
"658",-0.00681171017788227,2025,12
"659",-0.00678352729500755,2026,12
"660",-0.00707321296793761,2027,12
"661",-0.0037245150496427,2028,12
"662",-0.000179160274690374,2029,12
"663",-0.000640730226740868,2030,12
"664",0.00230057682119084,2031,12
"665",0.00628032184167642,2032,12
"666",0.00583282305995615,2033,12
"667",0.00412021526396264,2034,12
"668",0.00241005912580717,2035,12
"669",-0.00167345152702506,2036,12
"670",-0.00192233395783919,2037,12
"671",-0.00789475537096828,2038,12
"672",-0.0159067385881981,2039,12
"673",NA,1984,13
"674",NA,1985,13
"675",NA,1986,13
"676",NA,1987,13
"677",NA,1988,13
"678",NA,1989,13
"679",NA,1990,13
"680",NA,1991,13
"681",NA,1992,13
"682",NA,1993,13
"683",NA,1994,13
"684",NA,1995,13
"685",NA,1996,13
"686",NA,1997,13
"687",NA,1998,13
"688",NA,1999,13
"689",NA,2000,13
"690",NA,2001,13
"691",NA,2002,13
"692",NA,2003,13
"693",NA,2004,13
"694",NA,2005,13
"695",NA,2006,13
"696",NA,2007,13
"697",NA,2008,13
"698",NA,2009,13
"699",NA,2010,13
"700",NA,2011,13
"701",NA,2012,13
"702",NA,2013,13
"703",NA,2014,13
"704",NA,2015,13
"705",NA,2016,13
"706",NA,2017,13
"707",NA,2018,13
"708",NA,2019,13
"709",-0.119646872176394,2020,13
"710",-0.156199128768875,2021,13
"711",-0.180773957182774,2022,13
"712",-0.20383725594476,2023,13
"713",-0.232929878101204,2024,13
"714",-0.254428714554857,2025,13
"715",-0.280688935001236,2026,13
"716",-0.331002413862982,2027,13
"717",-0.371062944501903,2028,13
"718",-0.376198712472726,2029,13
"719",-0.362087353932912,2030,13
"720",-0.337301793131757,2031,13
"721",-0.298406663113645,2032,13
"722",-0.256817336214762,2033,13
"723",-0.216234419114077,2034,13
"724",-0.18172397923612,2035,13
"725",-0.159330220041962,2036,13
"726",-0.14096424436807,2037,13
"727",-0.142805120610133,2038,13
