"","R","Year","Rest","Scenario"
"1549",120223.927980866,2026,116252.5,30
"1550",124345.610713838,2027,118191.6,30
"1551",116519.406904733,2028,110348.5,30
"1552",108379.183741972,2029,101702.6,30
"1553",114358.308952249,2030,107111.1,30
"1554",123286.06181325,2031,115279.3,30
"1555",117733.060132705,2032,108657.4,30
"1556",113607.96367942,2033,100505.5,30
"1557",116878.34263227,2034,102351,30
"1558",124731.927034289,2035,107222.1,30
"1559",122018.081076449,2036,107937.1,30
"1560",116833.985703057,2037,100059.6,30
"1561",16764,1986,16759.21,31
"1562",2603,1987,2606.8,31
"1563",19933,1988,20023.43,31
"1564",1358,1989,1363.646,31
"1565",3378,1990,3401.2965,31
"1566",2688,1991,2699.2735,31
"1567",10529,1992,10575.61,31
"1568",15191,1993,15286.775,31
"1569",14942,1994,14992.645,31
"1570",12204,1995,12261.64,31
"1571",11301,1996,11333.735,31
"1572",22261,1997,22314.8,31
"1573",13779,1998,13802.72,31
"1574",45226,1999,45369.675,31
"1575",10209,2000,10216.07,31
"1576",78106,2001,78336.105,31
"1577",4394,2002,4404.741,31
"1578",2080,2003,2064.3675,31
"1579",249492,2004,250189.35,31
"1580",5322,2005,5344.3805,31
"1581",12873,2006,12909.195,31
"1582",4201,2007,4225.629,31
"1583",4373,2008,4416.415,31
"1584",1788,2009,1799.921,31
"1585",6991,2010,7034.5355,31
"1586",207156,2011,207663.15,31
"1587",38754,2012,38723.8,31
"1588",29515,2013,29382.47,31
"1589",2267641,2014,2261055,31
"1590",55083,2015,54686.51,31
"1591",154684,2016,154033,31
"1592",546138,2017,544559.45,31
"1593",79974,2018,79664.585,31
"1594",129730.135306819,2019,129941.6,31
"1595",115454.279578612,2020,112416.5,31
"1596",121872.79115233,2021,119031.2,31
"1597",117212.494728897,2022,113723.15,31
"1598",111403.295906691,2023,109969.45,31
"1599",120331.186222304,2024,118825.9,31
"1600",118855.914447276,2025,112641.9,31
"1601",121283.090456463,2026,116320.55,31
"1602",121098.292885887,2027,115960.65,31
"1603",123647.27819046,2028,116713.65,31
"1604",116156.311176602,2029,110263.2,31
"1605",115102.72446298,2030,107969.9,31
"1606",127555.663067269,2031,117814.9,31
"1607",119688.556369456,2032,110135.35,31
"1608",117778.141854708,2033,106482.65,31
"1609",125034.939207456,2034,113854.65,31
"1610",117418.120484229,2035,101476.7,31
"1611",121904.338408536,2036,107348.15,31
"1612",112652.673956541,2037,96913.975,31
"1613",16764,1986,16774.685,32
"1614",2603,1987,2594.7845,32
"1615",19933,1988,19963.01,32
"1616",1358,1989,1367.0505,32
"1617",3378,1990,3384.272,32
"1618",2688,1991,2701.336,32
"1619",10529,1992,10534.155,32
"1620",15191,1993,15195.565,32
"1621",14942,1994,14945.46,32
"1622",12204,1995,12183.355,32
"1623",11301,1996,11274.04,32
"1624",22261,1997,22175.17,32
"1625",13779,1998,13759.8,32
"1626",45226,1999,45135.215,32
"1627",10209,2000,10168.7,32
"1628",78106,2001,77926.815,32
"1629",4394,2002,4381.249,32
"1630",2080,2003,2090.215,32
"1631",249492,2004,248290.95,32
"1632",5322,2005,5290.5355,32
"1633",12873,2006,12849.73,32
"1634",4201,2007,4205.291,32
"1635",4373,2008,4384.8775,32
"1636",1788,2009,1768.225,32
"1637",6991,2010,6884.063,32
"1638",207156,2011,202852.6,32
"1639",38754,2012,37697.895,32
"1640",29515,2013,28541.035,32
"1641",2267641,2014,2178063.5,32
"1642",55083,2015,52586.29,32
"1643",154684,2016,147458.55,32
"1644",546138,2017,521206.15,32
"1645",79974,2018,76090.07,32
"1646",125469.657497579,2019,116957.8,32
"1647",116110.621979222,2020,108502.15,32
"1648",116312.440969644,2021,109376.35,32
"1649",122657.964213125,2022,116337.8,32
"1650",117679.085424102,2023,110314.8,32
"1651",101751.598679757,2024,95231.735,32
"1652",137561.995732045,2025,127626,32
"1653",119409.517829529,2026,113609.1,32
"1654",111414.89476277,2027,102591.3,32
"1655",128999.255434761,2028,117352.7,32
"1656",114635.802811904,2029,105030.45,32
"1657",129695.911173324,2030,118268.7,32
"1658",130142.20010494,2031,113561.9,32
"1659",116226.195368103,2032,102795.45,32
"1660",134670.632109729,2033,115796.55,32
"1661",117397.610747933,2034,97921.48,32
"1662",116490.064150645,2035,96855.47,32
"1663",117107.649713365,2036,94275.79,32
"1664",117819.886312447,2037,96140.405,32
